cluster_id,n,top_theme,top_collab,top_esg,top_terms
12,16,emissions_reduction,BN,E,"gem, management, china, year, carbon, greenhouse, emissions, new, projects, leader"
11,15,innovation_green_tech,BN,X,"foundation, launched, 2024, ping, digital, platform, september, sunwoda, collaboration, collaborated"
2,12,training_education,BS,S,"public, education, welfare, public welfare, university, health, sdg, program, collaboration, organized"
3,10,water_management,BN,E,"sustainable development, development, sustainable, esg, goals, development goals, governance, water, organization, county"
9,9,innovation_green_tech,BN,S,"tcl, charity foundation, smart, charity, tcl charity, foundation, village, school, city, town"
6,8,biodiversity_ecosystems,BN,E,"biodiversity, 2023, fii, action, plan, sf, sdgs, strategic, conservation, fii officially"
13,7,labor_rights,BN,S,"participate, rights, suppliers, supply chain, audits, star, chain, supply, organized, conduct"
0,6,renewable_energy,BG,X,"gree, hvac, china, electric, gree electric, cooperation, conference, service, central, september"
1,5,innovation_green_tech,BN,X,"huayou, sustainability, huayou cobalt, cobalt, prosperity, friends, creating, future, 2024 sustainability, sustainability report"
4,5,emissions_reduction,BN,E,"governance, social, governance report, environmental social, social governance, creating, report, 2024 environmental, environmental, global"
8,5,innovation_green_tech,BN,X,"insurance, agricultural, agriculture, leaders, yuan, ministry agriculture, protection, programme, ministry, rural"
7,5,diversity_inclusion,BN,S,"sports, cultural, employees, women day, day, inclusion, services, women, exchange, foundation"
10,5,emissions_reduction,BG,E,"climate, change, climate change, scenario, change ipcc, intergovernmental, intergovernmental panel, ipcc, panel climate, panel"
5,3,training_education,BG,S,"disclosure, reporting, education, reporting period, materiality, period, shanghai stock, disclosure standards, stock, stock exchange"
