initiative_id,report_id,company_canonical,company_name_fixed,industry_sector,ownership_type,year_of_report,ESG_block_norm,theme_tag,collab_type_short,collaboration_model,driver_primary,initiative_title,initiative_title_source,initiative_description,outputs_or_outcomes,KPI_present,KPI_list,geography,actors_involved,evidence_file_name,page_primary,evidence_page_numbers,evidence_quote_15w,evidence_excerpt,confidence,qa_reasons
CN001-I001,CN001,Alibaba,Alibaba,Technology & Internet,not stated,2024,S,training_education,BN,D) Business-led voluntary collaboration (partners/NGOs/community),vii) not stated,Training Education initiative (BN),label_fallback,"As of March 31, 2024, the Barrier-free Entrepreneurship and Employment Assistance Plan for 10,000 Merchants, launched by Alibaba Foundation together with Taobao and Tmall, cumulatively supported over 4,000 merchants with disabilities through free training and business diagnosis services.","31, 2024, 10,000, 4,000",yes,not stated,not stated,Alibaba Foundation,Alibaba 2024.pdf,17,17,"As of March 31, 2024, the Barrier-free Entrepreneurship and Employment Assistance Plan for 10,000 Merchants,","As of March 31, 2024, the Barrier-free Entrepreneurship and Employment Assistance Plan for 10,000 Merchants, launched by Alibaba Foundation together with Taobao and Tmall, cumulatively supported over 4,000 merchants with disabilities through free training and business diagnosis services.",High,OK
CN002-I001,CN002,ANT Group,ANT Group,Technology & Internet,state-owned,2024,E,emissions_reduction,BN,D) Business-led voluntary collaboration (partners/NGOs/community),iv) NGO expertise/problem-solving,Emissions Reduction initiative (BN),label_fallback,"ESG Sustainable Development Oﬃce Ant Group's ESG governance structure Board of Directors of Ant Group The ESG Sustainable Development Committee Supervising decision-making Risk management Policy making Strategy planning Leading execution Setting objectives Overall coordination Issue management Internal and external communication ESG Sustainable Development Leadership Team ESG Issue Working Groups Members of ESG Issue Working Groups Execution ESG Issue Leaders ESG Sustainable Development Oﬃce External input and empowerment External input and empowerment ESG Sustainable Development Advisory Committee Chaired by Chief Executive Oﬃcer, Chief Sustainability Oﬃcer as the executive team leader Eric JING Chairman of Ant Group Laura CHA Independent director of Ant Group Former Chairman of HKEX (retired in April 2024) Jun MA President of Institute of Finance and Sustainability Director of Green Finance Committee, China Society for Finance and Banking Jian WANG Academician of Chinese Academy of Engineering Founder of Alibaba Cloud Qimin CHAI Director of Strategy and Planning Department, National Center for Climate Change Strategy and International Cooperation Vice Chairman of Environment and Development Technology Expert Group, UN APEC Council Yonggang WEN Associate Provost and Dean of Graduate College, Nanyang Technological University, Singapore Professor of School of Computer Science and Engineering, Nanyang Technological University, Singapore Academician of Singapore Academy of Engineering Members of ESG Sustainable Development Committee Members of ESG Sustainable Development Advisory Committee Opening Message About Ant Group ESG Sustainability Strategy AI-Powered Digital Inclusion Technological Innovation Green and Low-Carbon Development Openness and Trustworthiness Appendices Ant Group 2024 Sustainability Report 06","2024, 2024, 06",yes,green finance,national,International Cooperation Vice Chairman of Environment and Development Technology Expert Group; Nanyang Technological University; UN APEC Council Yonggang WEN Associate Provost and Dean of Gradu,ANT Group 2024.pdf,8,8,ESG Sustainable Development Oﬃce Ant Group's ESG governance structure Board of Directors of Ant Group,ESG Sustainable Development Oﬃce Ant Group's ESG governance structure Board of Directors of Ant Group The ESG Sustainable Development Committee Supervising decision-making Risk management Policy making Strategy planning Leading execution Setting objectives Overall coordination Issue management Internal and external communication ESG Sustainable Development Leadership Team ESG Issue Working Groups,High,OK
CN002-I005,CN002,ANT Group,ANT Group,Technology & Internet,state-owned,2024,X,innovation_green_tech,BG,D) Business-led voluntary collaboration (partners/NGOs/community),vii) not stated,Innovation Green Tech initiative (BG),label_fallback,"Digital employment: In September 2023, Digital Engine reached strategic cooperation with the People's Government of Ping'an District, Haidong City, to support the district in building a center for the digital economy.",2023,yes,not stated,not stated,People's Government of Ping,ANT Group 2024.pdf,39,39,"Digital employment: In September 2023, Digital Engine reached strategic cooperation with the People's Government of","Digital employment: In September 2023, Digital Engine reached strategic cooperation with the People's Government of Ping'an District, Haidong City, to support the district in building a center for the digital economy.",High,OK
CN002-I006,CN002,ANT Group,ANT Group,Technology & Internet,state-owned,2024,X,innovation_green_tech,BN,D) Business-led voluntary collaboration (partners/NGOs/community),iv) NGO expertise/problem-solving,Innovation Green Tech initiative (BN),label_fallback,"Promoting collaboration in medical research and empowering the development of smart healthcare In 2024, Ant Group partnered with Peking University Third Hospital to jointly advance the R&D and application of key technologies for smart healthcare with a focus on medical big data, multimodal fusion foundation model and AI clinical application.",2024,yes,not stated,not stated,Ant Group partnered with Peking University,ANT Group 2024.pdf,45,45,"Promoting collaboration in medical research and empowering the development of smart healthcare In 2024, Ant","Promoting collaboration in medical research and empowering the development of smart healthcare In 2024, Ant Group partnered with Peking University Third Hospital to jointly advance the R&D and application of key technologies for smart healthcare with a focus on medical big data, multimodal fusion foundation model and AI clinical application.",High,OK
CN002-I007,CN002,ANT Group,ANT Group,Technology & Internet,state-owned,2024,X,innovation_green_tech,BN,D) Business-led voluntary collaboration (partners/NGOs/community),vii) not stated,"we introduced the Advanced AI-Driven Foundation Model Identiﬁcation System, which runs on",first_sentence,"In 2024, we introduced the Advanced AI-Driven Foundation Model Identiﬁcation System, which runs on the basis of applicable policies, achieving more eﬃcient and accurate project identiﬁcation and automated review and approval.",2024,yes,not stated,not stated,Advanced AI-Driven Foundation,ANT Group 2024.pdf,72,72,"In 2024, we introduced the Advanced AI-Driven Foundation Model Identiﬁcation System, which runs on the","In 2024, we introduced the Advanced AI-Driven Foundation Model Identiﬁcation System, which runs on the basis of applicable policies, achieving more eﬃcient and accurate project identiﬁcation and automated review and approval.",High,OK
CN003-I002,CN003,ANTA Sports Products Ltd,ANTA Sports Products Ltd,Transportation & Logistics,not stated,2024,S,community_development,BN,E) Society pressure / stakeholder demand-driven,iii) stakeholder/community demand,One medical aid project The Hemin Foundation set up by the founding,first_sentence,"One medical aid project The Hemin Foundation set up by the founding family of the Group had solely donated the construction of the Fujian Hemin Hospital since 2022, improving community living conditions, medical facilities, and rural infrastructure, while participating in national disaster relief and international humanitarian aid.",2022,yes,not stated,not stated,One medical aid project The Hemin Foundation,ANTA Sports Products Ltd 2024.pdf,32,32,One medical aid project The Hemin Foundation set up by the founding family of the,"One medical aid project The Hemin Foundation set up by the founding family of the Group had solely donated the construction of the Fujian Hemin Hospital since 2022, improving community living conditions, medical facilities, and rural infrastructure, while participating in national disaster relief and international humanitarian aid.",High,OK
CN003-I004,CN003,ANTA Sports Products Ltd,ANTA Sports Products Ltd,Transportation & Logistics,not stated,2024,X,partnerships_general,BN,D) Business-led voluntary collaboration (partners/NGOs/community),vii) not stated,"One China sports development project In collaboration with the China Sports Foundation,",first_sentence,"One China sports development project In collaboration with the China Sports Foundation, together with the Hemin Foundation, we have launched the “Lifetime Support Program for Excellent Athletes”, providing lifetime security planning for athletes who have demonstrated exceptional performance.",Not stated / Not found,no,not stated,national,Hemin Foundation; One China sports development project In collaboration with the China Sports Foundation,ANTA Sports Products Ltd 2024.pdf,32,32,"One China sports development project In collaboration with the China Sports Foundation, together with the","One China sports development project In collaboration with the China Sports Foundation, together with the Hemin Foundation, we have launched the “Lifetime Support Program for Excellent Athletes”, providing lifetime security planning for athletes who have demonstrated exceptional performance.",High,OK
CN006-I001,CN006,Bank of China,Bank of China,Financial Services,state-owned,2024,S,training_education,BG,D) Business-led voluntary collaboration (partners/NGOs/community),vii) not stated,Employment Promotion Week for College Graduates,quoted_name,"For the fourth consecutive year, we supported the ""Employment Promotion Week for College Graduates"", organised by the Ministry of Education of China, issuing over RMB370 billion in pro-employment loans to nearly 70,000 enterprises, helping to maintain overall employment stability.","70,000",yes,not stated,national,Ministry of Education of China,Bank of China 2024.pdf,3,3,"For the fourth consecutive year, we supported the ""Employment Promotion Week for College Graduates"", organised","For the fourth consecutive year, we supported the ""Employment Promotion Week for College Graduates"", organised by the Ministry of Education of China, issuing over RMB370 billion in pro-employment loans to nearly 70,000 enterprises, helping to maintain overall employment stability.",High,OK
CN006-I003,CN006,Bank of China,Bank of China,Financial Services,state-owned,2024,S,training_education,BN,D) Business-led voluntary collaboration (partners/NGOs/community),vii) not stated,"Educational aid » BOC-Samsung Life, in collaboration with the Palace Museum and",first_sentence,"Educational aid » BOC-Samsung Life, in collaboration with the Palace Museum and the Sina Yangfan Charity Foundation of the China Siyuan Foundation, donates Palace Museum-themed Little School Bags to 200 schools.",200,yes,not stated,national,Palace Museum and the Sina Yangfan Charity Foundation of the China Siyuan Foundation,Bank of China 2024.pdf,47,47,"Educational aid » BOC-Samsung Life, in collaboration with the Palace Museum and the Sina Yangfan","Educational aid » BOC-Samsung Life, in collaboration with the Palace Museum and the Sina Yangfan Charity Foundation of the China Siyuan Foundation, donates Palace Museum-themed Little School Bags to 200 schools.",High,OK
CN008-I002,CN008,CATL,CATL,Renewables & Clean Tech,not stated,2024,E,emissions_reduction,BG,F) International exposure / investor / supply-chain requirement-driven,vi) reputational/international markets,Emissions Reduction initiative (BG),label_fallback,"Drawing upon the Fifth and Sixth Assessment Reports of the United Nations Intergovernmental Panel on Climate Change (IPCC), the Company used Representative Concentration Pathways (RCPs) with reference to Shared Socioeconomic Pathways (SSPs) scenarios to inform the physical impacts of climate change on CATL operation, CATL also utilized the climate scenario model developed by the Network of Central Banks and Supervisors for Greening the Financial System (NGFS) to evaluate the potential risks associated with the transition pathway under its Zero Carbon Strategy, and leveraged the climate scenarios outlined in the World Energy Outlook 2023 of International Energy Agency (IEA) to assess the transition opportunities.",2023,yes,not stated,not stated,International Energy Agency,CATL 2024.pdf,37,37,Drawing upon the Fifth and Sixth Assessment Reports of the United Nations Intergovernmental Panel on,"Drawing upon the Fifth and Sixth Assessment Reports of the United Nations Intergovernmental Panel on Climate Change (IPCC), the Company used Representative Concentration Pathways (RCPs) with reference to Shared Socioeconomic Pathways (SSPs) scenarios to inform the physical impacts of climate change on CATL operation, CATL also utilized the climate scenario model developed by the Network of Central",High,OK
