initiative_id,company_canonical,collab_type_short,ESG_block_norm,theme_tag,cluster_id,initiative_title,evidence_quote_15w
CN001-I001,Alibaba,BN,S,training_education,11,Training Education initiative (BN),"As of March 31, 2024, the Barrier-free Entrepreneurship and Employment Assistance Plan for 10,000 Merchants,"
CN002-I001,ANT Group,BN,E,emissions_reduction,3,Emissions Reduction initiative (BN),ESG Sustainable Development Oﬃce Ant Group's ESG governance structure Board of Directors of Ant Group
CN002-I005,ANT Group,BG,X,innovation_green_tech,11,Innovation Green Tech initiative (BG),"Digital employment: In September 2023, Digital Engine reached strategic cooperation with the People's Government of"
CN002-I006,ANT Group,BN,X,innovation_green_tech,9,Innovation Green Tech initiative (BN),"Promoting collaboration in medical research and empowering the development of smart healthcare In 2024, Ant"
CN002-I007,ANT Group,BN,X,innovation_green_tech,11,"we introduced the Advanced AI-Driven Foundation Model Identiﬁcation System, which runs on","In 2024, we introduced the Advanced AI-Driven Foundation Model Identiﬁcation System, which runs on the"
CN003-I002,ANTA Sports Products Ltd,BN,S,community_development,11,One medical aid project The Hemin Foundation set up by the founding,One medical aid project The Hemin Foundation set up by the founding family of the
CN003-I004,ANTA Sports Products Ltd,BN,X,partnerships_general,7,"One China sports development project In collaboration with the China Sports Foundation,","One China sports development project In collaboration with the China Sports Foundation, together with the"
CN006-I001,Bank of China,BG,S,training_education,12,Employment Promotion Week for College Graduates,"For the fourth consecutive year, we supported the ""Employment Promotion Week for College Graduates"", organised"
CN006-I003,Bank of China,BN,S,training_education,9,"Educational aid » BOC-Samsung Life, in collaboration with the Palace Museum and","Educational aid » BOC-Samsung Life, in collaboration with the Palace Museum and the Sina Yangfan"
CN008-I002,CATL,BG,E,emissions_reduction,10,Emissions Reduction initiative (BG),Drawing upon the Fifth and Sixth Assessment Reports of the United Nations Intergovernmental Panel on
CN008-I003,CATL,BG,S,training_education,5,Training Education initiative (BG),"During the reporting period, the Company initiated programs with 16 colleges, including Fuzhou Polytechnic and"
CN011-I002,China Development Bank Financial Leasing,BG,S,community_development,2,Community Development initiative (BG),"In March 2024, the Group collaborated with the Nanshan District Disabled Persons’ Federation and Huafu"
CN011-I003,China Development Bank Financial Leasing,BG,E,emissions_reduction,12,"The amount of greenhouse gases was presented in carbon dioxide equivalent, and","The amount of greenhouse gases was presented in carbon dioxide equivalent, and GHG emissions (Scope"
CN014-I001,China Shenhua Energy,BG,E,emissions_reduction,12,the Company carried out accounting of 100% greenhouse gas emissions in China,"In 2024, the Company carried out accounting of 100% greenhouse gas emissions in China within"
CN014-I002,China Shenhua Energy,BG,E,biodiversity_ecosystems,6,Biodiversity Ecosystems initiative (BG),In line with the United Nations Convention on Biological Diversity and the China Biodiversity Conservation
CN014-I003,China Shenhua Energy,BG,X,innovation_green_tech,3,Innovation Green Tech initiative (BG),"/ 2024 Environmental, Social and Governance Report 68 The black sheep trading centre in Butuo"
CN015-I002,China State Construction,BS,S,training_education,2,"To build a robust talent pipeline for rural revitalization, we have organized","To build a robust talent pipeline for rural revitalization, we have organized two rural revitalization"
CN017-I001,CHINT Group,BN,S,community_development,3,Sino-Africa Corporate Community Action Network on Sustainable Development,"On 26 April 2024, the UN Global Compact organization held the launching ceremony of the"
CN020-I001,CNGR,BN,E,biodiversity_ecosystems,6,"Strategy In 2024, CNGR developed its Biodiversity and Land Use Policy based","Strategy In 2024, CNGR developed its Biodiversity and Land Use Policy based on the requirements"
CN021-I001,COSCO Shipping,BG,E,emissions_reduction,10,Emissions Reduction initiative (BG),The Company's scenario analysis adopts the Representative Concentration Pathways (RCP) RCP2.6 and RCP4.5 developed by
CN022-I002,CRRC,BN,X,innovation_green_tech,12,It has developed the Measures for the Management of the National High-,It has developed the Measures for the Management of the National High- Speed Train Technology
CN023-I007,CYPC,BN,S,diversity_inclusion,7,Diversity Inclusion initiative (BN),"Moreover, the company has also held fun sports games, networking events for youth staff, and"
CN024-I001,ENN Natural Gas Co,BN,E,emissions_reduction,4,Emissions Reduction initiative (BN),"2024 Environmental, Social and Governance Report Safe Energy Supply: Laying the Foundation for Social Development"
CN024-I002,ENN Natural Gas Co,BN,E,emissions_reduction,4,Emissions Reduction initiative (BN),"2024 Environmental, Social and Governance Report Safe Energy Supply: Laying the Foundation for Social Development"
CN024-I003,ENN Natural Gas Co,BN,E,emissions_reduction,4,Emissions Reduction initiative (BN),"2024 Environmental, Social and Governance Report Safe Energy Supply: Laying the Foundation for Social Development"
CN024-I004,ENN Natural Gas Co,BN,S,labor_rights,4,Labor Rights initiative (BN),"2024 Environmental, Social and Governance Report Report on Progress of Following the UN Global Compact"
CN025-I001,Esquel,BN,S,training_education,7,we partnered with the Xinjiang Dilinar Cultural and Art Exchange Development Foundation,"In 2024, we partnered with the Xinjiang Dilinar Cultural and Art Exchange Development Foundation and"
CN025-I003,Esquel,BN,S,training_education,2,Training Education initiative (BN),"52 Pioneering Sustainable Well-being Sustainability Tours at Integral In collaboration with the YL Yang Foundation,"
CN026-I004,Fosun,BN,X,SDG_alignment,3,Sdg Alignment initiative (BN),Other matters requiring attention International Organization Initiative Having joined the UN Global Compact in August
CN026-I005,Fosun,BN,X,SDG_alignment,4,Sdg Alignment initiative (BN),"145 146 ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT 2024 ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT 2024 Approach"
CN026-I007,Fosun,BN,X,innovation_green_tech,11,"From September 5 to 9, 2024, Fosun Foundation launched the first ""Fosun","From September 5 to 9, 2024, Fosun Foundation launched the first ""Fosun e+"" Digital Philanthropy"
CN027-I002,Foxconn Industrial Internet,BN,X,SDG_alignment,6,"Fii officially joined the United Nations Global Compact (UNGC), further reinforcing its","In 2024, Fii officially joined the United Nations Global Compact (UNGC), further reinforcing its commitment"
CN027-I004,Foxconn Industrial Internet,BN,X,SDG_alignment,6,Fii officially launched the “Action in Response to the UN SDGs” (hereinafter,"In 2023, Fii officially launched the “Action in Response to the UN SDGs” (hereinafter referred"
